,MIR1244.4,MIR5692C2,MIR5572,MIR5587,MIR635,MIR186,MIR6772,MIR4263,MIR5195,MIR4489,MIR1244.3,MIR4664,MIR3189,MIR429,MIR647,MIR4538,MIR573,MIR4537,MIR3682,MIR4539,MIR6739,MIR3162,MIR3124,MIR5581,MIR6503,MIR582,MIR4671,MIR5087,MIR3178,MIR6512,MIR4442,MIR200A,MIR570,MIR4477B,MIR3135B,MIR3972,MIR4292,MIR559,MIR4645,MIR25,MIR2909,MIR4526,MIR708,MIR589,MIR3929,MIR3193,MIR3186,MIR145,MIR219A1,MIR126,MIR548I2,MIR4635,MIR4728,MIR100,MIR6071,MIR4652,MIR3685,MIR320B2,MIR4685,MIR6797,MIR3662,MIR6514,MIR4257,MIR3197,MIR5010,MIR221,MIR3153,MIR378J,MIR6835,MIR3942,MIR3616,MIR93,MIR4653,MIR5684,MIR4782,MIR4457,MIR320E,MIR193A,MIR3909,MIR4768,MIR548AT,MIR590,MIR7111,MIR4648,MIR4260,MIR23B,MIR1276,MIR3671,MIR5089,MIR567,MIR3149,MIR6129,MIR200B,AL513534.1,MIR4483,MIR6812,MIR6753,MIR5188,MIR6819,MIR659
TCGA-62-A46P-01A-11R-A24H-07,0.126353790613718,0,0.0159453302961276,0.217391304347826,0.105555555555556,0.0396039603960396,0.137614678899083,0.0225988700564972,0,0.476190476190476,0.0487106017191977,0.0404411764705882,0.0828220858895705,0.198581560283688,0.165938864628821,0.0144927536231884,0.194029850746269,0.03125,0.271604938271605,0.0073529411764705,0.0625,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0.0355239786856128,0.0163934426229508,0,0,0.196078431372549,0.228070175438596,0,0.134751773049645,0,0,0,0.0285714285714286,0,0,0.12,0.0576923076923077,0.0487804878048781,0.0814814814814815,0,0.0130718954248366,0.037037037037037,0,0.0416666666666667,0,0.0857142857142857,0,0.0769230769230769,0.178571428571429,0,0,0,0.363636363636364,0.08,0.112676056338028,0.137931034482759,0.162162162162162,0.1,0,0,0.0555555555555556,0.0693069306930693,0,0,0,0.0526315789473684,0,0.142857142857143,0.149532710280374,0.25,0.0983606557377049,0.36,0,0,0,0.5,0.117647058823529,0,0.2,0,0,0.129032258064516,0.0759493670886076,0,0.1,0.0512820512820513,0.08,0.1875,0.0277777777777778
TCGA-38-4627-01A-01R-1206-07,0.173285198555957,0,0,0.0434782608695652,0.1,0.0594059405940594,0.018348623853211,0.0282485875706215,0.0416666666666667,0.0476190476190476,0.128939828080229,0.0147058823529412,0.0122699386503067,0,0.0131004366812227,0.0144927536231884,0.0597014925373134,0,0.037037037037037,0.0220588235294118,0,0,0.192307692307692,0.05,0.15,0,0,0,0,0,0.16,0,0.0088809946714032,0.0491803278688525,0.037037037037037,0,0.0294117647058824,0,0.137931034482759,0.0354609929078014,0,0,0,0,0,0,0,0.0384615384615385,0.024390243902439,0.0148148148148148,0,0.0457516339869281,0,0.25,0.0208333333333333,0,0.019047619047619,0,0,0,0.111111111111111,0,0.0555555555555556,0.181818181818182,0,0,0.0344827586206897,0.0540540540540541,0,0,0,0,0.0891089108910891,0,0.25,0,0,0,0,0.0560747663551402,0,0.0655737704918033,0,0,0,0.0144927536231884,0,0,0,0,0.0769230769230769,0.333333333333333,0,0,0,0,0.102564102564103,0,0,0
TCGA-86-8073-01A-11R-2241-07,0.24187725631769,0.25,0,0.173913043478261,0.4,0.386138613861386,0.110091743119266,0.0621468926553672,0.0625,0.285714285714286,0.770773638968481,0.154411764705882,0.0276073619631902,0.0709219858156028,0.279475982532751,0.0434782608695652,0.194029850746269,0.078125,0.37037037037037,0.0514705882352941,0.09375,0,0.115384615384615,0.5,0.65,0,0,0.0833333333333333,0.111111111111111,0.666666666666667,0.24,0.0972222222222222,0.0674955595026643,0.114754098360656,0,0,0.843137254901961,0.456140350877193,0.620689655172414,0.198581560283688,0.5,0,0.333333333333333,0.228571428571429,0.1,0,0.12,0.461538461538462,0.0975609756097561,0.111111111111111,0.0833333333333333,0.274509803921569,0.222222222222222,0,0.0104166666666667,0,0.438095238095238,0.19047619047619,0.0769230769230769,0.107142857142857,0,0.428571428571429,0.0555555555555556,0,1,0.23943661971831,0.172413793103448,0.135135135135135,0.266666666666667,0.25,0.0666666666666667,0.222222222222222,0.178217821782178,0,0.125,0,0.526315789473684,0.125,0.285714285714286,0.0373831775700935,0.25,0.508196721311475,0.24,0.222222222222222,0.0526315789473684,0.115942028985507,0,0.411764705882353,0,0,0.0769230769230769,0,0,0.417721518987342,0.0303030303030303,0.4,0.512820512820513,0,0.5,0.472222222222222
TCGA-55-6984-01A-11R-1949-07,0.110108303249097,0,0.0318906605922551,0.130434782608696,0.05,0.0693069306930693,0.018348623853211,0.0282485875706215,0.0625,0,0.0601719197707736,0.0367647058823529,0.0061349693251533,0.397163120567376,0.0262008733624454,0.0434782608695652,0.0895522388059701,0.03125,0.0246913580246914,0.0955882352941176,0.03125,0,0.230769230769231,0,0,0,0,0,0.111111111111111,0,0.12,0.305555555555556,0.0284191829484902,0.0491803278688525,0,0,0.0392156862745098,0.0701754385964912,0.206896551724138,0.0354609929078014,0,0,0,0.171428571428571,0,0,0.04,0.0576923076923077,0,0.0222222222222222,0,0,0.037037037037037,0,0.0104166666666667,0,0.0857142857142857,0,0,0.0357142857142857,0.222222222222222,0.142857142857143,0,0.272727272727273,0.04,0.028169014084507,0,0.135135135135135,0.1,0.166666666666667,0,0.0555555555555556,0.158415841584158,0,0,0,0.473684210526316,0,0,0.0467289719626168,0,0.0655737704918033,0.08,0,0.263157894736842,0.0434782608695652,0.25,0.176470588235294,0,0.133333333333333,0,0,0.225806451612903,0.151898734177215,0,0.1,0.0256410256410256,0,0.0625,0.0277777777777778
TCGA-55-8620-01A-11R-2403-07,0.0794223826714801,0,0,0.0869565217391304,0.133333333333333,0.0891089108910891,0.0275229357798165,0.0338983050847458,0.0625,0.0952380952380952,0.0257879656160458,0.378676470588235,0.245398773006135,0.283687943262411,0.100436681222707,0.173913043478261,0.0298507462686567,0.140625,0.0987654320987654,0.0882352941176471,0.0625,0,0.192307692307692,0.125,0,0,0.666666666666667,0.0833333333333333,0.111111111111111,0.333333333333333,0.08,0.25,0.0568383658969805,0.262295081967213,0,0,0.196078431372549,0.192982456140351,0.0344827586206897,0.340425531914894,0,0.5,0,0.2,0,0,0,0.115384615384615,0.48780487804878,0.0148148148148148,0.0833333333333333,0.0457516339869281,0.037037037037037,0,0.0416666666666667,0,0.0761904761904762,0,0.0769230769230769,0.0357142857142857,0.222222222222222,0,0,0,0.28,0.0140845070422535,0.103448275862069,0.0540540540540541,0.1,0.25,0.0666666666666667,0.388888888888889,0.108910891089109,0.4,0.25,0,0.105263157894737,0,0.285714285714286,0.0093457943925233,0,0.229508196721311,0.08,0.444444444444444,0,0.0144927536231884,0,0.235294117647059,0.181818181818182,0.0666666666666667,0.0769230769230769,0,0.645161290322581,0.126582278481013,0,0.1,0.0769230769230769,0,0.25,0.0833333333333333
TCGA-50-6595-01A-12R-1858-07,0.113718411552347,0,0,0.0434782608695652,0.0444444444444444,0,0.0091743119266055,0.0338983050847458,0.0208333333333333,0.0476190476190476,0.0773638968481375,0.0330882352941176,0,0,0.0043668122270742,0,0,0,0.037037037037037,0,0.09375,0,0.0384615384615385,0.025,0,0,0,0.0833333333333333,0,0,0.04,0,0.0088809946714032,0.0655737704918033,0,0,0.0490196078431373,0,0.0344827586206897,0.0070921985815602,0,0,0,0.114285714285714,0.1,0,0,0,0,0,0,0,0,0.25,0,0,0.019047619047619,0.0952380952380952,0,0,0.111111111111111,0,0,0,0,0.0140845070422535,0.0344827586206897,0,0.0333333333333333,0.0833333333333333,0,0.0555555555555556,0.0198019801980198,0,0,0,0.105263157894737,0,0,0,0,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0.0253164556962025,0,0,0.0256410256410256,0,0,0.0277777777777778
TCGA-78-7633-01A-11R-2066-07,0.1985559566787,0.0416666666666667,0,0,0.155555555555556,0.316831683168317,0.0458715596330275,0.0734463276836158,0.0208333333333333,0,0.0888252148997135,0.176470588235294,0,0.0283687943262411,0.0393013100436681,0,0.358208955223881,0,0.0740740740740741,0.0073529411764705,0.15625,0,0.538461538461538,0.225,0.05,0,0,0.166666666666667,0,0,0.72,0.0555555555555556,0.0550621669626998,0.344262295081967,0,0,0.313725490196078,0.087719298245614,0,0.0141843971631206,0.5,0,0,0.457142857142857,0,0,0.08,0.134615384615385,0,0.0592592592592593,0,0,0,0,0.0729166666666667,0,0.0761904761904762,0.0476190476190476,0.230769230769231,0.107142857142857,0,0,0,0,0.44,0.028169014084507,0,0.027027027027027,0.0666666666666667,0.25,0,0,0.0099009900990099,0,0.125,0,0.0526315789473684,0.125,0,0,0.125,0.114754098360656,0,0,0.157894736842105,0,0,0,0,0,0,0.333333333333333,0.0645161290322581,0.0759493670886076,0,0,0.0769230769230769,0,0.0625,0.0833333333333333
TCGA-78-7220-01A-11R-2039-07,0.15884476534296,0,0.170842824601367,0.130434782608696,0.0666666666666667,0.148514851485149,0.110091743119266,0.0395480225988701,0,0,0.126074498567335,0.0404411764705882,0.0122699386503067,0.0212765957446809,0.0655021834061135,0,0.328358208955224,0,0.148148148148148,0.0073529411764705,0.0625,0,0.269230769230769,0.025,0.1,0,0.111111111111111,0.0833333333333333,0,0.166666666666667,0.16,0,0.0301953818827709,0.0163934426229508,0,0,0.0784313725490196,0.105263157894737,0.103448275862069,0.0212765957446809,0,0,0,0.114285714285714,0,0,0,0.0576923076923077,0,0.0074074074074074,0,0.0196078431372549,0.037037037037037,0,0.0208333333333333,0,0.0380952380952381,0.0952380952380952,0.0769230769230769,0.214285714285714,0,0,0.0555555555555556,0.0909090909090909,0.28,0,0,0.135135135135135,0,0.0833333333333333,0,0,0.0891089108910891,0,0.25,0,0.105263157894737,0,0,0,0.125,0.0819672131147541,0.2,0,0,0,0.25,0.117647058823529,0.0909090909090909,0,0,0,0,0.113924050632911,0,0,0.128205128205128,0.04,0,0.0277777777777778
TCGA-53-7624-01A-11R-2066-07,0.149819494584838,0,0.0045558086560364,0,0.122222222222222,0.0693069306930693,0.247706422018349,0.0621468926553672,0.0625,0.0476190476190476,0.106017191977077,0.0477941176470588,0,0.0212765957446809,0.0611353711790393,0.0144927536231884,0.134328358208955,0.015625,0.037037037037037,0.0441176470588235,0.03125,0,0.0769230769230769,0.125,0,0.142857142857143,0,0.0833333333333333,0.111111111111111,0,0.16,0,0.024866785079929,0.278688524590164,0,0,0.166666666666667,0.0526315789473684,0.0344827586206897,0.0283687943262411,0.5,0,0,0.171428571428571,0,0,0.08,0.0192307692307692,0,0.0148148148148148,0,0.0326797385620915,0,0,0,0,0.123809523809524,0.571428571428571,0.0769230769230769,0.214285714285714,0.111111111111111,0,0.111111111111111,0.181818181818182,0.04,0.0422535211267606,0.137931034482759,0.162162162162162,0.0333333333333333,0.416666666666667,0,0,0.0297029702970297,0,0.625,0,0.263157894736842,0,0,0.0280373831775701,0,0.0163934426229508,0.12,0,0.210526315789474,0.0289855072463768,0,0.176470588235294,0,0,0.0769230769230769,0,0.032258064516129,0.0759493670886076,0,0.2,0.128205128205128,0.28,0.0625,0.0277777777777778
TCGA-49-AARN-01A-21R-A41B-07,0.144404332129964,0,0.0022779043280182,0.0434782608695652,0.0666666666666667,0.0594059405940594,0.110091743119266,0.0282485875706215,0.125,0,0.0630372492836676,0.0257352941176471,0.0153374233128834,0.0921985815602837,0.11353711790393,0.101449275362319,0.104477611940299,0.109375,0.111111111111111,0.0367647058823529,0.125,0,0.115384615384615,0,0.05,0,0.111111111111111,0.0833333333333333,0.111111111111111,0.5,0,0.152777777777778,0.0515097690941385,0.114754098360656,0,0,0.0882352941176471,0.087719298245614,0,0.177304964539007,0,0,0,0,0,0,0.16,0.0576923076923077,0,0.0074074074074074,0,0.0130718954248366,0.0740740740740741,0,0.0208333333333333,0,0.304761904761905,0,0.230769230769231,0.0357142857142857,0,0,0,0.181818181818182,0.16,0.0140845070422535,0.0344827586206897,0.162162162162162,0,0.166666666666667,0,0,0.108910891089109,0,0,0,0.0526315789473684,0,0.142857142857143,0.0373831775700935,0.125,0.0163934426229508,0.28,0.222222222222222,0.0526315789473684,0,0,0.117647058823529,0,0.0666666666666667,0,0.333333333333333,0,0.0632911392405063,0.0303030303030303,0.6,0.179487179487179,0,0,0.0277777777777778
TCGA-62-A46R-01A-11R-A24H-07,0.0938628158844765,0,0,0,0.0944444444444444,0.306930693069307,0.174311926605505,0.15819209039548,0.166666666666667,0.285714285714286,0.0573065902578797,0.0551470588235294,0.0214723926380368,0.0283687943262411,0.0829694323144105,0.0434782608695652,0.208955223880597,0,0.234567901234568,0.0220588235294118,0.40625,0,0.0384615384615385,0.15,0.05,0,0,0,0,0.333333333333333,0.04,0.0694444444444444,0.0426287744227353,0.163934426229508,0,0,0.0490196078431373,0.684210526315789,0,0.156028368794326,0,0,0,0.171428571428571,0,0,0,0.0576923076923077,0,0.0074074074074074,0,0.0196078431372549,0.037037037037037,0,0.0104166666666667,0,0.257142857142857,0,0.0769230769230769,0.0714285714285714,0.444444444444444,0.285714285714286,0,0,0.8,0.577464788732394,0.0689655172413793,0.567567567567568,0.1,0,0,0.222222222222222,0.257425742574257,0.2,0,0,0.0526315789473684,0,0,0,0.375,0.491803278688525,0,0.111111111111111,0.105263157894737,0.0144927536231884,0,0.235294117647059,0,0,0,0.666666666666667,0.161290322580645,0.240506329113924,0.0303030303030303,0.1,0.487179487179487,0,0.375,0.0277777777777778
